ISIN;nom;ticker
DE000A3CM708;SDM SE;75S
DE000A3CMGM5;Apontis Pharma AG;APPH
DE000A3CMGN3;hGears AG;HGEA
DE000A3CNK42;ABOUT YOU Holding AG;YOU
DE000A3CQ7F4;Bike24 Holding AG;BIKE
DE000A3CRRN9;Cherry AG;C3RY
DE000A3CSAE2;Mister Spex SE;MRX
DE000A3E5A59;SynBiotic SE;SBX
DE000A3E5C24;MHP Hotel AG;CDZ0
DE000A3E5E55;Ringmetall SE;HP3A
DE000A3E5E63;Homes & Holiday AG;HHHA
DE000A3E5ED2;Veganz Group AG;VEZ
DE000A3H2101;AAP Implantate AG;AAQ1
DE000A3H2135;Binect AG;MA10
DE000A3H2200;Nagarro SE;NA9
DE000A3H2333;Hamborner REIT AG;HABA
DE000A3H3L44;2invest AG;2INV
DE000BASF111;BASF SE;BAS
DE000BAY0017;Bayer AG;BAYN
DE000BFB0019;Metro Wholesale & Food Specialist AG;B4B
DE000BFB0027;METRO AG;B4B3
DE000CBK1001;Commerzbank AG;CBK
DE000DTR0CK8;Daimler Truck Hldg;DTG
DE000DWS1007;DWS Group GmbH & Co KGaA;DWS
DE000ENAG999;E.ON AG;EOAN
DE000ENER6Y0;Siemens Energy AG;ENR
DE000EVNK013;Evonik Industries A;EVK
DE000FPH9000;Francotyp-Postalia ;FPH
DE000FTG1111;FlatexDegiro AG;FTK
DE000HAG0005;Hensoldt AG;HAG
DE000HLAG475;Hapag-Lloyd AG;HLAG
DE000JST4000;JOST Werke AG;JST
DE000KBX1006;Knorr-Bremse AG;KBX
DE000KC01000;Kloeckner & Co SE;KCO
DE000KGX8881;KION Group AG;KGX
DE000KSAG888;K+S AG;SDF
DE000LEG1110;LEG Immobilien AG;LEG
DE000LS1LUS9;Lang & Schwarz Aktiengesellschaft;LUS1
DE000NWRK013;XING SE;NWO
DE000PAG9113;Porsche AG;P911
DE000PAH0038;Porsche Automobil H;PAH3
DE000PAT1AG3;Patrizia Immobilien;PAT
DE000PSM7770;ProSiebenSat.1 Medi;PSM
DE000RENK730;Renk Group;R3NK
DE000RYSE888;Roy Ceramics AG;RY8
DE000SHA0159;Schaeffler AG;SHA
DE000SHL1006;Siemens Healthineers AG;SHL
DE000STRA555;STRATEC Biomedical AG;SBS
DE000SYM9999;Symrise AG;SY1
DE000TLX1005;Talanx AG;TLX
DE000TRAT0N7;Traton SE;8TRA
DE000TUAG000;TUI AG;TUI1
DE000VTSC017;Vitesco Technologies Group Aktiengesellschaft;VTSC
DE000WACK012;Wacker Neuson SE;WAC
DE000WAF3001;Siltronic AG;WAF
DE000WCH8881;Wacker Chemie AG;WCH
DE000ZAL1111;Zalando SE;ZAL
DE000ZEAL241;Zeal Network SE;TIMA
DK0060448595;Coloplast A/S;CBHD
DK0061539921;Vestas Wind Systems A/S;VWSB
ES0148396007;Industria de Diseno Textil SA;IXD1
