ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
NL0000337319;BAMNB.AS;Industrials;Engineering & Construction;https://www.bam.com/;Koninklijke BAM Groep nv;4,046;13,4;0,3;0,19;0,23;0,65
IT0001031084;BGN.MI;Financial Services;Banks - Regional;https://www.bancagenerali.com/;Banca Generali S.p.A.;45,08;137;0,33;0,36;0,09;0,11
IT0003188064;IF.MI;Financial Services;Banks - Regional;https://www.bancaifis.it/;Banca IFIS S.p.A.;21,08;246,62;0,09;0,1;0,14;0,22
IT0004776628;BMED.MI;Financial Services;Banks - Regional;https://www.bancamediolanum.it/;Banca Mediolanum S.p.A.;11,63;113,05;0,1;0,11;0,05;0,45
IT0005508921;BMPS.MI;Financial Services;Banks - Regional;https://www.gruppomps.it/;Banca Monte dei Paschi di Siena S.p.A.;6,67;0;0;0;0,1;0,76
IT0003173629;BST.MI;Financial Services;Banks - Regional;https://www.bancasistema.it/;Banca Sistema S.p.A.;1,476;59,1;0,02;0,03;0,06;0
IT0005218380;BAMI.MI;Financial Services;Banks - Regional;https://www.bancobpm.it/;Banco BPM S.p.A.;7,846;0;0;0;0,07;0,65
ES0113860A34;SAB.MC;Financial Services;Banks - Diversified;https://www.grupbancsabadell.com/;Banco de Sabadell, S.A.;1,92;0;0;0;0,07;2,89
ES0113900J37;SAN.MC;Financial Services;Banks - Diversified;https://www.santander.com/;Banco Santander, S.A.;4,683;0;0;0;0,06;1,09
BE0003870871;BANI.BR;Real Estate;Real Estate - Development;https://www.banimmo.be/;Banimmo SA;2,88;13,57;0,21;0,23;0,48;1,56
IE00BD1RP616;BIRG.IR;Financial Services;Banks - Regional;https://www.bankofireland.com/;Bank of Ireland Group plc;8,778;0;0;0;0,08;1,57
FR0000062788;BUI.PA;Consumer Cyclical;Apparel Manufacturing;https://www.barbarabui.com/;Barbara Bui SA;5,9;0;0;0;0,14;0
BE0974362940;BAR.BR;Technology;Electronic Components;https://www.barco.com/;Barco NV;10,59;11,76;0,9;0,84;0,75;0,21
DE000BASF111;BAS.DE;Basic Materials;Chemicals;https://www.basf.com/;BASF SE;44,605;75,8;0,59;0,52;0,44;0,15
NL0011872650;BFIT.AS;Consumer Cyclical;Leisure;https://www.basic-fit.com/;Basic-Fit N.V.;21,48;45,24;0,47;0,47;0,13;0
IT0001033700;BAN.MI;Consumer Cyclical;Apparel Retail;https://www.basic.net/;BasicNet S.p.A.;7,64;7,32;1,04;0,67;0,36;0,37
BE0003674851;BAS.BR;Real Estate;Real Estate Services;https://www.basilix.be/;Basilix Cert;27,8;0;0;0;0;0,88
FR0004023208;BASS.PA;Real Estate;Real Estate - Development;https://www.bassac.fr/;BASSAC Société anonyme;43,2;126,39;0,34;0,21;0,4;0,11
FR0000035370;BLC.PA;Healthcare;Medical Distribution;https://www.bastideleconfortmedical.com/;Bastide Le Confort Médical SA;24,15;96,44;0,25;0,23;0,13;0,04
IT0004412497;B.MI;Industrials;Specialty Business Services;https://www.bastogi.com/;Bastogi S.p.A.;0,489;2,81;0,17;0,13;0,09;0
DE000BAY0017;BAYN.DE;Healthcare;Drug Manufacturers - General;https://www.bayer.com/;Bayer Aktiengesellschaft;19,76;97,8;0,2;0,18;0,29;0,21
ES0113211835;BBVA.MC;Financial Services;Banks - Diversified;https://www.bbva.com/;Banco Bilbao Vizcaya Argentaria, S.A.;9,704;0;0;0;0,07;0,56
IT0000784196;BPSO.MI;Financial Services;Banks - Regional;https://www.popso.it/;Banca Popolare di Sondrio S.p.A;8,22;125,98;0,07;0,07;0,07;0,27
IT0001073045;PRO.MI;Financial Services;Banks - Regional;https://www.bancaprofilo.it/;Banca Profilo S.p.A.;0,1905;3,86;0,05;0,05;0,07;9,97
IT0001041000;BDB.MI;Financial Services;Banks - Regional;https://www.bancodesio.it/;Banco di Desio e della Brianza S.p.A.;6,22;134,94;0,05;0,05;0,08;0,63
FR0000035305;ALBDM.PA;Communication Services;Telecom Services;https://www.bdmultimedia.fr/;BD Multimedia SA;0,952;1,35;0,71;0,54;0,46;0
NL0012866412;BESI.AS;Technology;Semiconductor Equipment & Materials;https://www.besi.com/;BE Semiconductor Industries N.V.;127,1;12,93;9,83;6,09;0,4;0,02
IT0001487047;BWZ.MI;;;https://www.beewize.it/;Beewize S.p.A.;0,54;1,11;0,49;0,82;0,33;0
IT0001223277;BE.MI;Industrials;Electrical Equipment & Parts;https://www.beghelli.com/;Beghelli S.p.A.;0,329;0,93;0,35;0,26;0,35;11,73
DE0005200000;BEI.DE;Consumer Defensive;Household & Personal Products;https://www.beiersdorf.com/;Beiersdorf Aktiengesellschaft;124,7;51,93;2,4;2,69;0,72;0,01
BE0974258874;BEKB.BR;Industrials;Metal Fabrication;https://www.bekaert.com/;NV Bekaert SA;33,34;73,96;0,45;0,42;0,52;0,1
FR0014003FE9;BLV.PA;Communication Services;Entertainment;https://www.believe.com/;Believe S.A.;14,38;8,25;1,74;1,11;0,42;0
IT0005497042;BELL.MI;Consumer Cyclical;Recreational Vehicles;https://www.bellininautica.it/;Bellini Nautica S.p.A.;3,16;2,22;1,42;0,93;0,48;0
NO0003094104;BELCO.OL;Industrials;Marine Shipping;https://www.belships.com/;Belships ASA;16,14;3,47;4,65;5,17;0,32;0
BE0974314461;BELYS.BR;Consumer Cyclical;Textile Manufacturing;https://www.belysse.com/;Belysse Group NV;0,605;7,8;0,08;0,06;0,27;0
GB00BGHPT808;BMK.L;Consumer Defensive;Packaged Foods;https://www.benchmarkplc.com/;Benchmark Holdings plc;33,5;0,36;93,06;58,77;0,57;0
FR0000035164;BEN.PA;Consumer Cyclical;Recreational Vehicles;https://www.beneteau-group.com/;Bénéteau S.A.;8,64;23,39;0,37;0,26;0,41;0,2
LU2355630455;LU2355630455.SG;;;https://twitter.com/YahooFinance;;0,395;0;0;0;0;0
PTSLB0AM0010;SLBEN.LS;Communication Services;Entertainment;https://www.slbenfica.pt/;Sport Lisboa e Benfica - Futebol, SAD;3,27;25,93;0,13;0,13;0,15;0
NO0010950249;BCS.OL;Basic Materials;Specialty Chemicals;https://bergencarbonsolutions.com/;Bergen Carbon Solutions AS;3,26;5,29;0,62;0,52;0,9;0
NO0010650013;BGBIO.OL;Healthcare;Biotechnology;https://www.bergenbio.com/;BerGenBio ASA;9,219;4,98;1,85;1,53;0,79;0
FR0000066961;ALDBL.PA;;;;;3,22;0;0;0;0;0
IT0005516130;BIE.MI;Industrials;Conglomerates;https://www.bioera.it/;Bioera S.p.A.;0,0394;0,21;0,19;-0,08;3,93;0
NO0010955198;BFISH.OL;Consumer Defensive;Farm Products;https://biofish.no/;BioFish Holding AS;1,115;2,64;0,42;0,97;0,71;0
FR0013280286;BIM.PA;Healthcare;Diagnostics & Research;https://www.biomerieux.com/;bioMérieux S.A.;102,1;34,55;2,96;3,29;0,75;0,01
FR001400OLP5;ALBPS.PA;Healthcare;Biotechnology;https://www.biophytis.com/;Institut Biophytis SAS;0,326;1,99;0,16;0,14;0,42;0
BE0974280126;BIOS.BR;Healthcare;Biotechnology;https://www.biosenic.com/;BioSenic S.A.;0,0143;0,05;0,29;-0,36;2,37;0
FR0011005933;ALBIO.PA;Healthcare;Medical Devices;https://www.biosynex.com/;Biosynex SA;1,62;11,57;0,14;0,08;0,56;0
BE0974386188;BTLS.BR;Basic Materials;Agricultural Inputs;https://www.biotalys.com/;Biotalys NV;3,15;0,96;3,28;3,28;0,88;0
DE000A1TNV91;ADE.DE;Financial Services;Asset Management;https://www.bitcoingroup.com/;Bitcoin Group SE;54,1;15,65;3,46;4,43;0,78;0
NO0010755101;BSP.OL;Consumer Cyclical;Lodging;https://www.blackseaproperty.no/;Black Sea Property AS;0,13;1,09;0,12;0,19;0,47;0
FR0000062150;BLEE.PA;Real Estate;REIT - Diversified;https://www.bleecker.fr/;Bleecker Société Anonyme;135;653,64;0,21;0,32;0,41;0,02
FR0013340973;MLBSP.PA;Utilities;Utilities - Renewable;https://bluesharkpower.eu/;Blue Shark Power System;7,9;0;0;0;0;0
FR0011041011;ALBLU.PA;Healthcare;Medical Devices;https://www.bluelinea.com/;Bluelinea Société Anonyme;0,83;1,05;0,79;0,84;0,15;0
NO0010379266;BNOR.OL;Energy;Oil & Gas E&P;https://www.bluenord.com/;BlueNord ASA;615;123,68;4,97;5,45;0,23;0
DE0005190003;BMW.F;Consumer Cyclical;Auto Manufacturers;https://www.bmwgroup.com/;Bayerische Motoren Werke Aktiengesellschaft;80,12;429,15;0,19;0,17;0,35;0,07
DE0005190037;BMW3.DE;Consumer Cyclical;Auto Manufacturers;https://www.bmwgroup.com/;Bayerische Motoren Werke Aktiengesellschaft;74,35;4110,91;0,02;0,02;0,35;0,09
FR0000131104;BNP.PA;Financial Services;Banks - Regional;https://group.bnpparibas/;BNP Paribas SA;58,94;0;0;0;0,05;0,09
FR0011365907;FR0011365907.SG;;;https://twitter.com/YahooFinance;;16,75;0;0;0;0;0
FR0010106039;MLONE.PA;Consumer Cyclical;Apparel Manufacturing;https://www.bodyone.fr/;Body One SA;0,32;0;0;0;0;0
FR0000061129;BOI.PA;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.boiron.fr/;Boiron SA;26,75;27,35;0,98;0,95;0,7;0,11
FR0000039299;BOL.PA;Communication Services;Entertainment;https://www.bollore.com/;Bolloré SE;5,96;0;0;0;0,38;0,23
FR0000063935;BON.PA;Consumer Defensive;Packaged Foods;https://www.bonduelle.com/;Bonduelle SCA;6,36;50,84;0,13;0,09;0,33;0,42
NO0003110603;BONHR.OL;Industrials;Conglomerates;https://www.bonheur.no/;Bonheur ASA;266;548,97;0,48;0,43;0,31;0,01
BE6333353298;MLBON.PA;Healthcare;Medical Instruments & Supplies;https://www.bonyf.com/;bonyf N.V.;19;0;0;0;0;0
FR001400OS22;ALBOO.PA;Technology;Consumer Electronics;https://www.boostheat-group.com/;Boostheat SA;0,209;0;0;0;0;0
NO0003111700;BOR.OL;Industrials;Building Products & Equipment;https://borgestad.no/;Borgestad ASA;17,7;40,16;0,44;0,46;0,48;0
IT0003217335;BO.MI;Consumer Cyclical;Textile Manufacturing;https://www.borgosesiaspa.com/;Borgosesia S.p.A.;0,608;3,77;0,16;0,1;0,3;0
NO0010657505;BRG.OL;Basic Materials;Specialty Chemicals;https://www.borregaard.com/;Borregaard ASA;177,8;91,98;1,93;2,45;0,55;0,01
FR0000054421;ALBOU.PA;Consumer Cyclical;Home Improvement Retail;https://www.bourrelier-group.com/;Bourrelier Group SA;46;87,07;0,53;0,53;0,65;0,06
FR0000074254;BSD.PA;Financial Services;Capital Markets;https://www.boursedirect.fr/;Bourse Direct Société Anonyme;4,36;24,82;0,18;0,18;0,06;0,4
NO0010360266;BOUV.OL;Technology;Information Technology Services;https://www.bouvet.no/;Bouvet ASA;75,4;15,44;4,88;3,19;0,26;0,05
FR0000120503;EN.PA;Industrials;Engineering & Construction;https://www.bouygues.com/;Bouygues SA;29,07;142,02;0,2;0,14;0,19;0,16
