ISIN;nom;ticker
DE000A3CMGM5f;Apontis Pharma AG;APPH
DE000A3CMGN3f;hGears AG;HGEA
DE000A3CNK42f;ABOUT YOU Holding AG;YOU
DE000A3CQ7F4f;Bike24 Holding AG;BIKE
DE000A3CRRN9f;Cherry AG;C3RY
DE000A3CSAE2f;Mister Spex SE;MRX
DE000A3E5A59f;SynBiotic SE;SBX
DE000A3E5C24f;MHP Hotel AG;CDZ0
DE000A3E5E55f;Ringmetall SE;HP3A
DE000A3E5ED2f;Veganz Group AG;VEZ
DE000A3H2101f;AAP Implantate AG;AAQ1
DE000A3H2135f;Binect AG;MA10
DE000A3H2200f;Nagarro SE;NA9
DE000A3H2333f;Hamborner REIT AG;HABA
DE000A3H3L44f;2invest AG;2INV
DE000BASF111f;BASF SE;BAS
DE000BAY0017f;Bayer AG;BAYN
DE000CBK1001f;Commerzbank AG;CBK
DE000DTR0CK8f;Daimler Truck Hldg;DTG
DE000DWS1007f;DWS Group GmbH & Co KGaA;DWS
DE000ENAG999f;E.ON AG;EOAN
DE000ENER6Y0f;Siemens Energy AG;ENR
DE000EVNK013f;Evonik Industries A;EVK
DE000FPH9000f;Francotyp-Postalia ;FPH
DE000FTG1111f;FlatexDegiro AG;FTK
DE000HAG0005f;Hensoldt AG;HAG
DE000HLAG475f;Hapag-Lloyd AG;HLAG
DE000JST4000f;JOST Werke AG;JST
DE000KBX1006f;Knorr-Bremse AG;KBX
DE000KC01000f;Kloeckner & Co SE;KCO
DE000KGX8881f;KION Group AG;KGX
DE000KSAG888f;K+S AG;SDF
DE000LEG1110f;LEG Immobilien AG;LEG
DE000LS1LUS9f;Lang & Schwarz Aktiengesellschaft;LUS1
DE000PAG9113f;Porsche AG;P911
DE000PAH0038f;Porsche Automobil H;PAH3
DE000PAT1AG3f;Patrizia Immobilien;PAT
DE000PSM7770f;ProSiebenSat.1 Medi;PSM
DE000RENK730f;Renk Group;R3NK
DE000SHA0159f;Schaeffler AG;SHA0
DE000SHL1006f;Siemens Healthineers AG;SHL
DE000STRA555f;STRATEC Biomedical AG;SBS
DE000SYM9999f;Symrise AG;SY1
DE000TKMS001f;TKMS;TKMS
DE000TLX1005f;Talanx AG;TLX
DE000TRAT0N7f;Traton SE;8TRA
DE000TUAG000f;TUI AG;TUI1
DE000WACK012f;Wacker Neuson SE;WAC
DE000WAF3001f;Siltronic AG;WAF
DE000WCH8881f;Wacker Chemie AG;WCH
DE000ZAL1111f;Zalando SE;ZAL
DE000ZEAL241f;Zeal Network SE;TIMA
DK0060448595f;Coloplast A/S;CBHD
DK0061539921f;Vestas Wind Systems A/S;VWSB
ES0148396007f;Industria de Diseno Textil SA;IXD1
FI0009000681f;Nokia Corporation;NOA3
FI4000297767f;Nordea Bank Abp;04Q
FR0000120073f;Air Liquide SA;AIL
FR0000120321f;L'Oreal S.A.;LOR
FR0000121014f;LVMH Moët Hennessy - Louis Vuitton Societe Europee;MOH
FR0000133308f;Orange SA;FTE
GB00BH4HKS39f;Vodafone Group PLC;VODI
GB00BP6MXD84f;Shell PLC;R6C0
IE0002Y8CX98f;WisdomTree Europe Defence UCITS ETF EUR Unhedged Acc;EUDF
IE0007Y8Y157f;VanEck Quantum Computing UCITS ETF A;QUTM
IE000KYX7IP4f;Amundi S&P Global Financials ESG UCITS ETF DR EUR (A);WELK
IE000NDWFGA5f;Global X Uranium UCITS ETF USD Accumulating;URNU
IE000S9YS762f;Linde AG;LIN
IE00B3F81409f;iShares Core Global Aggregate Bond UCITS ETF USD (Dist);EUNU
IE00B4ND3602f;iShares Physical Gold ETC;PPFB
IE00B5MJYX09f;Invesco European Industrials Sector UCITS ETF Acc;SC0S
IE00B6QGFW01f;iShares Emerging Asia Local Government Bond UCITS ETF;IS0S
IE00BD8PGZ49f;iShares USD Treasury Bond 20+yr UCITS ETF EUR Hedged (Dist);IUSV
IE00BDVPNG13f;WisdomTree Artificial Intelligence UCITS ETF USD Acc;WTI2
IE00BGV5VN51f;Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C 1C;XAIX
IE00BJ5JPG56f;iShares MSCI China UCITS ETF USD (Acc);ICGA
IE00BKBF6H24f;iShares Core MSCI World UCITS ETF EUR Hedged (Dist);IWLE
IE00BL25JP72f;Xtrackers MSCI World Momentum UCITS ETF 1C;XDEM
IE00BMYDM794f;L&G Hydrogen Economy UCITS ETF USD Acc;HTMW
IE00BSKRJZ44f;iShares USD Treasury Bond 20+yr UCITS ETF USD (Dist);IS04
IE00BTN1Y115f;Medtronic PLC;2M6
IE00BWZN1T31f;iShares MSCI EMU USD Hedged UCITS ETF (Acc);CEBP
IE00BYTBXV33f;Ryanair Holdings plc;RY4C
IE00BZ048462f;iShares USD Floating Rate Bond UCITS ETF;QDVY
IT0003128367f;Enel SpA;ENL
IT0005239360f;UniCredit SpA;CRIN
LU0061462528f;RTL Group SA;RRTL
LU0251710041f;Cpi Property Group SA;O5G
LU0307018795f;SAF-Holland SA;SFQ
