ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
AT0000821103;UQA.VI;Financial Services;Insurance - Diversified;https://www.uniqagroup.com/;UNIQA Insurance Group AG;15.68;6.12;2.56;1.67;1.67;0.1;0.36;7.11
AT0000831706;WIE.VI;Basic Materials;Building Materials;https://www.wienerberger.com/;Wienerberger AG;28.62;15.73;1.82;-2.31;-2.31;0.47;0.1;-0.04
AT0000837307;ZAG.VI;Industrials;Electrical Equipment & Parts;https://www.z.lighting/;Zumtobel Group AG;3.58;4.23;0.85;-1.08;-1.08;0.46;1.22;7.14
AT0000922554;ROS.VI;Industrials;Farm & Heavy Construction Machinery;https://www.rosenbauer.com/;Rosenbauer International AG;48.2;24.85;1.94;19.44;19.44;0.25;0.06;17.34
AT0000937503;VOE.VI;Basic Materials;Steel;https://www.voestalpine.com/;Voestalpine AG;38.76;35.0;1.11;-8.85;-8.85;0.51;0.09;33.27
AT0000969985;ATS.VI;Technology;Electronic Components;https://ats.net/;AT & S Austria Technologie & Systemtechnik Aktiengesellschaft;36.6;22.16;1.65;-0.61;-0.61;0.24;0.05;-25.38
AT0000A25NJ6;WAH.MU;Industrials;Pollution & Treatment Controls;https://wolftankgroup.com/;Wolftank Group AG;4.6;0.12;38.33;-1.18;-1.76;0.12;0.0;-2.6
AT0000APOST4;POST.VI;Industrials;Integrated Freight & Logistics;https://www.post.at/;Österreichische Post AG;32.7;8.27;3.95;-1.01;-1.01;0.13;0.17;17.4
AT0000BAWAG2;BG.VI;Financial Services;Banks - Regional;https://www.bawaggroup.com/;BAWAG Group AG;136.5;53.5;2.55;2.26;2.26;0.07;0.0;236.1
AT000AGRANA3;AGR.VI;Consumer Defensive;Packaged Foods;https://www.agrana.com/;AGRANA Beteiligungs-Aktiengesellschaft;11.45;16.81;0.68;5.7;1.0;0.46;0.51;15.81
BE0974293251;ABI.BR;Consumer Defensive;Beverages - Brewers;https://www.ab-inbev.com/;Anheuser-Busch InBev SA/NV;59.08;-36.59;-1.61;-1.11;-1.22;0.4;0.02;48.11
CA32076V1031;AG.TO;Basic Materials;Silver;https://www.firstmajestic.com/;First Majestic Silver Corp.;28.71;5.3;5.42;-16.22;-24.54;0.82;0.0;-0.24
CA4969024047;K.TO;Basic Materials;Gold;https://www.kinross.com/;Kinross Gold Corporation;46.66;6.58;7.09;-74.06;-74.06;0.76;0.04;5.39
CA9628791027;WPM.TO;Basic Materials;Gold;https://www.wheatonpm.com/;Wheaton Precious Metals Corp.;187.62;15.99;11.73;128.51;128.51;1.1;0.01;10.43
CH0006539198;HLG.DE;Communication Services;Entertainment;https://www.highlight-communications.ch/;Highlight Communications AG;1.25;-4.12;-0.3;-0.22;-0.26;0.24;3.0;-1.81
CH0038389992;BION.SW;;;https://issgovernance.com/quickscore;BB Biotech AG Ord;48.4;41.75;1.16;1.16;1.16;0.95;0.0;0.0
CH0303692047;ED4.DE;Consumer Cyclical;Auto Parts;https://www.edag.com/;EDAG Engineering Group AG;4.22;2.05;2.06;-0.42;70.33;0.22;0.0;8.31
CNE1000031C1;690D.DE;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://smart-home.haier.com/;Haier Smart Home Co., Ltd.;2.002;7.43;0.27;-0.7;-0.7;0.48;2.5;10.11
DE0001218063;A7A.DE;Financial Services;Asset Management;https://www.heliad.com/;Heliad AG;15.6;0.0;0;0;0;0;0.0;-4.15
DE0001262152;DTD2.F;Technology;Software - Application;https://bs-ag.com/;B+S Banksysteme Aktiengesellschaft;2.04;0.46;4.43;-2.37;-2.37;0.57;0.0;2.41
DE0005088108;BWB.DE;Financial Services;Capital Markets;https://www.baaderbank.de/;Baader Bank Aktiengesellschaft;6.8;3.38;2.01;1.76;1.76;0.04;0.3;130.84
DE0005089031;UTDI.F;Communication Services;Telecom Services;https://www.united-internet.de/;United Internet AG;29.06;-4.23;-6.87;-0.97;-0.97;0.41;0.1;9.88
DE0005093108;AAD.DE;Industrials;Staffing & Employment Services;https://www.amadeus-fire.de/;Amadeus FiRe AG;42.1;-16.7;-2.52;-1.4;-1.4;0.37;0.11;90.39
DE0005102008;BSL.DE;Technology;Consumer Electronics;https://www.baslerweb.com/;Basler Aktiengesellschaft;16.68;1.1;15.16;-61.78;16.19;0.59;0.05;-1.01
DE0005103006;ADV.DE;Technology;Communication Equipment;https://www.adva.com/;Adtran Networks SE;22.0;3.75;5.87;14.1;8.18;0.6;0.0;-2.02
DE0005104400;AOF.DE;Technology;Software - Application;https://www.atoss.com/;ATOSS Software SE;104.8;5.02;20.88;27.43;25.19;2.5;0.01;22.51
