Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANNPA;Solvabilité
RSL2.DE;Industrials;Specialty Industrial Machinery;https://r-stahl.com/;R. STAHL AG;21,4;0;0;0
BOSS.DE;Consumer Cyclical;Apparel Manufacturing;https://www.hugoboss.com/;Hugo Boss AG;48,89;0;0;0
RCMN.DE;Real Estate;Real Estate—Development;https://www.rcm-ag.de/;RCM Beteiligungs AG;1,47;2,69;-3,06;0,61
SMWN.DE;Real Estate;REIT—Diversified;https://www.smw-ag.de/;SM Wirtschaftsberatungs AG;6;0;0;0
ACWN.DE;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.as-creation.com/;A.S. Création Tapeten AG;10,4;0;0;0
SF3.DE;Consumer Cyclical;Auto Parts;https://sts.group/;STS Group AG;6,1;0;0;0
DBAN.DE;Financial Services;Asset Management;https://www.dbag.com/;Deutsche Beteiligungs AG;28,25;0;0;0
ADE.DE;Financial Services;Asset Management;https://www.bitcoingroup.com/;Bitcoin Group SE;56,6;0;0;0
MPCK.DE;Financial Services;Asset Management;https://www.mpc-capital.com/;MPC Münchmeyer Petersen Capital AG;3,86;0;0;0
MDG1.DE;Healthcare;Biotechnology;https://www.medigene.com/;Medigene AG;1,495;0;0;0
ERWE.DE;Real Estate;Real Estate—Development;https://www.erwe-ag.com/;ERWE Immobilien AG;0,3;0;0;0
WCMK.DE;Real Estate;Real Estate Services;https://www.wcm.de/;WCM Beteiligungs- und Grundbesitz-AG;2,08;0;0;0
DIC.DE;;;https://www.branicks.com/;Branicks Group AG;3,935;0;0;0
BST.DE;Communication Services;Publishing;https://bastei-luebbe.de/;Bastei Lübbe AG;7,1;0;0;0
FC9.DE;Real Estate;Real Estate Services;https://fcr-immobilien.de/;FCR Immobilien AG;10,2;45,08;-0,34;0,28
ISHA.DE;Technology;Software—Application;https://www.intershop.com/;INTERSHOP Communications Aktiengesellschaft;2;2,62;-2,47;0,38
M3BK.DE;Financial Services;Asset Management;https://pyramid-ag.com/;Pyramid AG;1,11;1,98;37;0,63
VH2.DE;Industrials;Engineering & Construction;https://www.friedrich-vorwerk.de/;Friedrich Vorwerk Group SE;16,7;15,29;9,88;0,67
H2O.DE;Industrials;Specialty Industrial Machinery;https://www.enapterag.de/;Enapter AG;5,02;0;0;0
GWI2.DE;;;;;0;0;0;0
TLIK.DE;Technology;Communication Equipment;https://www.teles.com/;TELES Aktiengesellschaft;1,07;0;0;0
93M1.DE;Healthcare;Drug Manufacturers—Specialty & Generic;https://www.mph-ag.de/;MPH Health Care AG;25,6;51,59;-9,73;0,95
HAEK.DE;;;https://www.haemato.ag/;HAEMATO AG;21,4;35,08;-3,29;0,81
DFTK.DE;Financial Services;Capital Markets;https://www.dfag.de/;DF Deutsche Forfait AG;1,6;4,17;0,81;0,58
T3T1.DE;Technology;Information Technology Services;https://www.7p-group.com/;Seven Principles AG;5,3;5,7;15,14;0,2
VRL.DE;Technology;Software—Application;https://net-digital.com/;Net-Digital AG;2,5;0;0;0
MXHN.DE;Industrials;Specialty Industrial Machinery;https://www.maxautomation.com/;MAX Automation SE;6,18;8,69;-6,87;0,32
AAG.DE;Industrials;Specialty Industrial Machinery;https://www.aumann.com/;Aumann AG;18,06;20,46;2,48;0,91
SFD1.DE;;;https://www.softline-group.com/;Softline AG;0,9;0;0;0
DHER.DE;Consumer Cyclical;Internet Retail;https://www.deliveryhero.com/;Delivery Hero SE;31,1;15,14;-1,38;0,19
NUVA.DE;Real Estate;Real Estate—Development;https://www.noratis.de/;Noratis AG;5,65;67,05;0,63;0,18
CYR.DE;Technology;Software—Infrastructure;https://www.cyansecurity.com/;cyan AG;2,32;1,38;-21,09;0,82
2HRA.DE;Basic Materials;Chemicals;https://www.hur.com/;H&R GmbH & Co. KGaA;4,87;23,39;-4,73;0,5
NIIN.DE;Technology;Software—Application;https://www.niiio.finance/;niiio finance group AG;0,625;0,12;-3,47;0,64
SJJ.DE;Technology;Software—Application;https://serviceware-se.com/;Serviceware SE;13;0;-1,48;-1,46
EBE.DE;;;https://finance.yahoo.com/sector/financial_services;;0;0;0;0
CPX.DE;Financial Services;Asset Management;https://www.capsensixx.de/;capsensixx AG;14,2;13,78;2,89;0,68
S9I.DE;Industrials;Specialty Industrial Machinery;https://www.stemmer-imaging.com/;Stemmer Imaging AG;33,9;0;0;0
SOW.DE;;;https://www.softwareag.com/;Software Aktiengesellschaft;37,1;13,65;-8,23;0,69
DMP.DE;Healthcare;Drug Manufacturers—Specialty & Generic;https://ir.dermapharm.de/;Dermapharm Holding SE;36,25;0;0;0
CRZK.DE;Financial Services;Asset Management;https://www.cr-capital.de/;CR Energy AG;28,4;68,84;-15,6;0,97
AEIN.DE;Technology;Information Technology Services;https://www.allgeier.com/;Allgeier SE;18,95;0;0;0
BKHT.DE;Financial Services;Asset Management;https://www.brockhaus-technologies.com/en;Brockhaus Technologies AG;23,3;29,62;-1,06;0,44
AMMN.DE;Real Estate;Real Estate Services;https://www.thegroundsag.com/;The Grounds Real Estate Development AG;0,72;8,19;-0,1;0,13
PAG.DE;Real Estate;Real Estate Services;https://www.preos.de/;PREOS Global Office Real Estate & Technology AG;0,089;0;0;0
AG1.DE;Consumer Cyclical;Auto & Truck Dealerships;https://www.auto1-group.com/;AUTO1 Group SE;7,21;8,13;8,9;0,51
CSQ.DE;;;https://www.creditshelf.com/;creditshelf Aktiengesellschaft;2,3;5,74;-1,01;0,07
WEW.DE;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.westwing.com/;Westwing Group SE;8,34;10,59;75,82;0,55
MUX.DE;Financial Services;Asset Management;https://www.mutares.com/en/;Mutares SE & Co. KGaA;42,6;201,77;-0,9;0,27
TRU.DE;Consumer Cyclical;Residential Construction;https://www.traumhaus-familie.de/;Traumhaus AG;0,41;0;0;0
DFV.DE;Financial Services;Insurance—Diversified;https://www.deutsche-familienversicherung.de/;DFV Deutsche Familienversicherung AG;6;18,2;-0,51;0,35
INS.DE;Real Estate;Real Estate—Development;https://www.instone.de/;Instone Real Estate Group SE;8,94;42,09;0,77;0,39
123F.DE;;;;;2,52;0;0;0,64
PSG.DE;Healthcare;Drug Manufacturers—Specialty & Generic;https://pharmasgp.com/;PharmaSGP Holding SE;22,8;10,97;-7,94;0,39
FSNT.DE;;;https://corporate.the-platform-group.com/;The Platform Group AG;5,2;3,98;4,16;0,52
LDF.DE;Financial Services;Asset Management;https://www.linus-finance.com/;Linus Digital Finance AG;1,73;17,95;-0,32;0,26
