ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0014004QR6;;;https://twitter.com/YahooFinance;;0.0001;0;0;0;0;0.0
FR0013507985;;;https://twitter.com/YahooFinance;;0.002;0;0;0;0.51;0.0
FR0013508009;;;https://twitter.com/YahooFinance;;0.0005;0;0;0;0.51;0.0
IT0005546103;Technology;Software - Infrastructure;https://cyberoo.com/;Cyberoo S.p.A.;2.18;0.64;3.41;2.25;0.78;0.0
NO0010015175;Technology;Computer Hardware;https://www.cyviz.com/;Cyviz AS;31.0;16.27;1.91;1.04;0.31;0.0
IT0004053440;Technology;Scientific & Technical Instruments;https://www.datalogic.com/;Datalogic S.p.A.;5.28;8.08;0.65;0.49;0.58;0.59
IT0005468357;Technology;Software - Infrastructure;https://www.datrixgroup.com/;Datrix S.p.A.;1.06;2.3;0.46;0.24;0.55;0.0
IT0005285942;Industrials;Engineering & Construction;https://www.dbagroup.it/;DBA Group S.p.A.;2.78;5.78;0.48;0.28;0.3;0.0
FR001400LO86;Industrials;Specialty Industrial Machinery;https://www.dbt.fr/;DBT SA;0.421;4.11;0.1;0.08;0.38;0.0
FR0010417345;Healthcare;Biotechnology;https://www.dbv-technologies.com/;DBV Technologies S.A.;0.7;0.97;0.72;0.62;0.72;0.0
IT0003115950;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.delonghigroup.com/;De'Longhi S.p.A.;29.86;16.59;1.8;1.17;0.51;0.09
BE0003789063;Industrials;Building Products & Equipment;https://www.deceuninck.com/;Deceuninck NV;2.37;4.82;0.49;0.47;0.46;0.51
NO0010955917;Energy;Oil & Gas Drilling;https://www.deepvaluedriller.no/;Deep Value Driller AS;16.32;1.67;9.77;8.59;0.09;0.0
FR001400AYG6;Communication Services;Entertainment;https://www.deezer.com/;Deezer S.A.;1.4;1.66;0.84;1.33;1.71;0.0
FR0000062978;Communication Services;Advertising Agencies;https://www.dekuple.com/en;ADLPartner SA;36.2;43.78;0.83;0.5;0.21;0.2
