ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
IT0000066180;Real Estate;Real Estate - Development;https://www.brioschi.it/;Brioschi Sviluppo Immobiliare S.p.A.;0.0492;0.29;0.17;0.21;0.46;0.0
FR001400AJZ7;Technology;Communication Equipment;https://www.broadpeak.tv/;Broadpeak Société anonyme;0.93;2.91;0.32;0.2;0.51;0.0
NL0010776944;Industrials;Staffing & Employment Services;https://brunelinternational.net/;Brunel International N.V.;9.05;11.02;0.82;0.56;0.48;0.35
IT0004764699;Consumer Cyclical;Luxury Goods;https://www.brunellocucinelli.it/;Brunello Cucinelli S.p.A.;96.9;22.36;4.33;3.96;0.28;0.01
FR0006174348;Industrials;Consulting Services;https://group.bureauveritas.com/;Bureau Veritas SA;29.66;11.73;2.53;1.7;0.33;0.09
FR0000061137;Consumer Cyclical;Auto Parts;https://www.burelle.fr/;Burelle SA;313.0;3970.04;0.08;0.06;0.21;0.01
IT0001347308;Basic Materials;Building Materials;https://www.buzziunicem.com/;Buzzi S.p.A.;39.18;41.85;0.94;1.34;0.82;0.04
NO0003087603;Industrials;Building Products & Equipment;https://www.byggma.no/;Byggma ASA;15.35;44.14;0.35;0.39;0.36;0.47
IT0003023980;Consumer Defensive;Packaged Foods;https://centralelatteitalia.com/;Centrale del Latte d'Italia S.p.A.;2.84;19.15;0.15;0.11;0.26;0.57
FR0000045544;Financial Services;Banks - Regional;https://www.credit-agricole.fr/ca-toulouse31/particulier.html;Caisse Regionale de Credit Agricole Mutuel Toulouse 31;69.51;3504.02;0.02;0.02;0.12;0.06
FR001400DIY6;Technology;Consumer Electronics;https://www.cabasse.com/;Cabasse Société anonyme;0.66;0.0;0;0;0;0.0
NL00150000S7;Consumer Cyclical;Packaging & Containers;https://www.cabka.com/;Cabka N.V.;2.34;7.23;0.32;0.3;0.41;0.0
NL00150000U3;;;https://twitter.com/YahooFinance;;0.0035;0;0;0;0.41;0.0
NL00150000V1;;;https://twitter.com/YahooFinance;;0.0145;0;0;0;0.41;0.0
DK0061412772;Industrials;Engineering & Construction;https://www.cadeler.com/;Cadeler A/S;67.4;5.16;13.06;26.85;0.62;0.0
FR0010151589;Consumer Cyclical;Home Improvement Retail;https://www.cafom.com/;Centrale d'Achat Française pour l'Outre-Mer Société Anonyme;7.94;39.88;0.2;0.16;0.31;0.0
IE00BWY4ZF18;Consumer Cyclical;Residential Construction;https://www.cairnhomes.com/;Cairn Homes plc;179.2;1.67;107.31;84.93;0.73;0.0
FR0000125338;Technology;Information Technology Services;https://www.capgemini.com/;Capgemini SE;157.45;94.74;1.66;1.09;0.44;0.01
NO0010923121;Industrials;Pollution & Treatment Controls;https://www.capsoltechnologies.com/;Capsol Technologies ASA;11.0;2.2;5.0;3.97;0.23;0.0
NO0010123060;;;https://twitter.com/YahooFinance;;1.765;0;0;0;0;0.0
FR0011648716;Basic Materials;Specialty Chemicals;https://www.carbios.com/;Carbios SAS;7.38;15.45;0.48;0.46;0.83;0.0
BE0974273055;Real Estate;REIT - Healthcare Facilities;https://carepropertyinvest.be/;Care Property Invest NV;12.04;32.98;0.37;0.74;0.52;0.29
IT0005331019;Technology;Electronic Components;https://www.carel.com/;Carel Industries S.p.A.;18.7;4.9;3.82;2.24;0.49;0.04
DE0005313704;Healthcare;Medical Instruments & Supplies;https://www.zeiss.com/meditec-ag/de/investor-relations.html?vaURL=www.zeiss.de/meditec-ag/ir;Carl Zeiss Meditec AG;58.1;25.54;2.27;1.95;0.72;0.02
FR0010907956;Healthcare;Medical Devices;https://www.carmatsa.com/;Carmat SA;1.088;1.24;0.88;0.9;0.97;0.0
FR0010828137;Real Estate;REIT - Retail;https://www.carmila.com/;Carmila S.A.;15.94;47.58;0.34;0.5;0.5;0.6
FR0000120172;Consumer Defensive;Grocery Stores;https://www.carrefour.com/;Carrefour SA;14.145;70.58;0.2;0.14;0.21;0.22
IT0005003782;Communication Services;Entertainment;https://castadivagroup.com/;Casta Diva Group S.p.A.;1.254;3.61;0.35;0.24;0.13;0.0
FR0010193052;Consumer Cyclical;Recreational Vehicles;https://www.catanagroup.com/;SA Catana Group;4.79;6.86;0.7;0.46;0.44;0.0
FR0000064446;Industrials;Specialty Business Services;https://www.cis-integratedservices.com/;Catering International & Services Société Anonyme;8.18;24.9;0.33;0.2;0.42;0.11
FR0014007LW0;Financial Services;Asset Management;https://cbicorp.io/;Crypto Blockchain Industries;0.1665;0.07;2.38;2.08;0.5;0.0
FR001400O408;;;https://twitter.com/YahooFinance;;0.0005;0;0;0;0.5;0.0
FR0010193979;Real Estate;Real Estate - Diversified;https://www.cboterritoria.com/;CBo Territoria SA;3.55;13.72;0.26;0.35;0.53;1.84
DE0007257503;Consumer Cyclical;Specialty Retail;https://www.ceconomy.de/;Ceconomy AG;3.13;19.57;0.16;0.1;0.05;1.21
FR0000053506;Healthcare;Health Information Services;https://www.cegedim.com/;Cegedim SA;10.9;55.85;0.2;0.15;0.31;0.12
FR0010425595;Healthcare;Biotechnology;https://www.cellectis.com/;Cellectis S.A.;1.814;3.95;0.46;0.32;0.4;0.0
IT0005244618;Technology;Consumer Electronics;https://www.cellularlinegroup.com/;Cellularline S.p.A.;2.35;6.75;0.35;0.22;0.61;0.0
BE0974260896;Healthcare;Biotechnology;https://www.celyad.com/;Celyad Oncology SA;0.764;0.28;2.73;1.66;0.08;0.0
IT0001128047;Industrials;Electrical Equipment & Parts;https://www.cembre.it/;Cembre S.p.A.;41.05;15.15;2.71;3.48;0.78;0.1
NL0013995087;;;https://twitter.com/YahooFinance;;10.94;0;0;0;0;0.0
BE0974303357;Industrials;Electrical Equipment & Parts;https://cenergyholdings.com/;Cenergy Holdings SA;9.22;8.49;1.09;0.77;0.22;0.0
FR0013178712;Industrials;Specialty Industrial Machinery;https://www.cerinnov.com/;Cerinnov Group SA;0.7;3.41;0.21;0.13;0.22;0.0
BE0003883031;Industrials;Engineering & Construction;https://www.cfe.be/;Compagnie d'Entreprises CFE SA;5.96;46.51;0.13;0.09;0.22;0.4
